system:index,count,hotspot,.geo
+15811+65761,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.000140158915013,41.59151358571228]}"
+15813+65766,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.001405078771942,41.59435965539036]}"
+15816+65760,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.003302458557336,41.59088112578381]}"
+15816+65770,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.003302458557336,41.597205725068456]}"
+15821+65751,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.006464758199657,41.58518898642763]}"
+15826+65782,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.00962705784198,41.60479524421003]}"
+15826+65796,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.00962705784198,41.61364968320853]}"
+15831+65784,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.012789357484301,41.60606016406696]}"
+15831+65791,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.012789357484301,41.61048738356621]}"
+15831+66145,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.012789357484301,41.83437819824261]}"
+15832+65776,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.013421817412766,41.60100048463924]}"
+15833+65766,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.01405427734123,41.5946758853546]}"
+15835+65767,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.01531919719816,41.595308345283065]}"
+15835+65772,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.01531919719816,41.598470644925385]}"
+15838+65767,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.01690034701932,41.595308345283065]}"
+15840+65763,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.018481496840481,41.59277850556921]}"
+15841+65766,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.019113956768946,41.5946758853546]}"
+15842+65764,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.01974641669741,41.59341096549767]}"
+15845+65752,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.021643796482804,41.5858214463561]}"
+15849+65757,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.024173636196661,41.58898374599842]}"
+15852+66222,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.026071015982055,41.88307761273437]}"
+15853+65757,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.02670347591052,41.58898374599842]}"
+15853+66227,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.02670347591052,41.88623991237669]}"
